Category,Product_Name,Amazon_Price,Amazon_Coupon,Amazon_URL,Flipkart_Price,Flipkart_Coupon,Flipkart_URL
Phones,Samsung Galaxy M05,6249,"10% off on SBI CC (up to ₹1000)",https://www.amazon.in/Samsung-Storage-Display-Charging-Security/dp/B0DFY3XCB6,6499,"10% off on Axis/ICICI CC (up to ₹1500)",https://www.flipkart.com/samsung-m05-mint-green-64-gb/p/itm31b7d648fd40f
Phones,OnePlus Nord CE4 Lite 5G,15999,"10% off on HDFC/ICICI CC (up to ₹1500)",https://www.amazon.in/OnePlus-Nord-Lite-128GB-Storage/dp/B0D5YFZ946,16740,"5% cashback on Axis CC + ₹500 SuperCoins",https://www.flipkart.com/oneplus-nord-ce4-lite-5g-ultra-orange-128-gb/p/itm8fd5fdf300955
Phones,iQOO Z10 Lite 5G,9998,"10% off on SBI CC (up to ₹1000)",https://www.amazon.in/iQOO-Titanium-Dimensity-Processor-Shock-Resistance/dp/B0FC5XCLXG,12975,"10% off on HDFC CC (up to ₹1000)",https://www.flipkart.com/iqoo-z10-lite-5g-cyber-green-128-gb/p/itmb57aad9fe876e
Phones,Redmi 13 5G Prime Edition,10999,"10% off on ICICI CC (up to ₹1000)",https://www.amazon.in/Redmi-Diamond-Largest-Display-Segment/dp/B0D78Y577J,10999,"5% cashback on Axis CC + ₹300 SuperCoins",https://www.flipkart.com/redmi-13-5g-prime-orchid-pink-128-gb/p/itmb1a205b666820
Phones,Samsung Galaxy M06 5G,7499,"10% off on SBI CC (up to ₹1000)",https://www.amazon.in/Samsung-MediaTek-Dimensity-Charging-Upgrades/dp/B0DX655V11,8932,"10% off on ICICI CC (up to ₹1000)",https://www.flipkart.com/samsung-m06-5g-sage-green-128-gb/p/itmcafa42dadc15c
Phones,iPhone 15,47999,"10% off on HDFC CC (up to ₹3000)",https://www.amazon.in/Apple-iPhone-15-128-GB/dp/B0CHX1W1XY,47999,"10% off on Axis CC (up to ₹2500)",https://www.flipkart.com/apple-iphone-15-black-128-gb/p/itm6ac6485515ae4
Phones,Samsung Galaxy A55 5G,23999,"10% off on SBI CC (up to ₹1500)",https://www.amazon.in/Samsung-Awesome-Storage-Nightography-Corning/dp/B0CWPBBQ3M,24824,"5% cashback on HDFC CC + ₹1000 SuperCoins",https://www.flipkart.com/samsung-galaxy-a55-5g-awesome-navy-128-gb/p/itm7ac5d2771f7a0
Phones,iQOO Neo 10,30998,"10% off on ICICI CC (up to ₹2000)",https://www.amazon.in/iQOO-Snapdragon-Processor-SuperComputing-Smartphone/dp/B0F83LL1D2,30998,"10% off on Axis CC (up to ₹1500)",https://www.flipkart.com/iqoo-neo-10-inferno-red-128-gb/p/itm4faf25d0485ec
Phones,Samsung Galaxy M36 5G,13999,"10% off on SBI CC (up to ₹1000)",https://www.amazon.in/Samsung-Storage-Enhanced-Unmatched-Nightography/dp/B0FDB9H277,14569,"5% cashback on ICICI CC",https://www.flipkart.com/samsung-m36-5g-light-green-128-gb/p/itm4cf1eae54334f
Phones,Redmi Note 14 5G,15499,"10% off on HDFC CC (up to ₹1000)",https://www.amazon.in/Redmi-Note-14-5G-Dimensity/dp/B0DPFVDFT3,12999,"10% off on HDFC CC (up to ₹1000)",https://www.flipkart.com/redmi-note-14-se-5g-crimson-art-128-gb/p/itm10fbd7f3a50f1
Phones,Pixel 9,54999,"10% off on ICICI CC (up to ₹2500)",https://www.amazon.in/Google-Pixel-Obsidian-256-RAM/dp/B0DZXTW6PP,54999,"5% cashback on Axis CC",https://www.flipkart.com/google-pixel-9-porcelain-256-gb/p/itm5364256d5efe2
Phones,POCO F7,30999,"10% off on SBI CC (up to ₹1500)",N/A,30499,"10% off on ICICI CC (up to ₹1000)",https://www.flipkart.com/poco-f7-5g-phantom-black-256-gb/p/itm632bdcafce49a
Phones,Moto G35,8999,"10% off on HDFC CC (up to ₹500)",https://www.amazon.in/Motorola-Midnight-Storage-Powerful-Performance/dp/B0DPW21322,8999,"5% cashback on Axis CC",https://www.flipkart.com/motorola-g35-5g-leaf-green-128-gb/p/itma3ca32cc93927
Phones,Samsung Galaxy F06 5G,7999,"10% off on SBI CC (up to ₹500)",https://www.amazon.in/Samsung-Galaxy-Bahama-Blue-128GB/dp/B0DYP4NYYJ,7999,"10% off on HDFC CC (up to ₹500)",https://www.flipkart.com/samsung-galaxy-f06-5g-bahama-blue-128-gb/p/itm58189fada62cb
Phones,POCO C75 5G,7299,"10% off on ICICI CC (up to ₹500)",https://www.amazon.in/POCO-C75-Aqua-Bliss-64GB/dp/B0DRKNZFT2,7299,"5% cashback on ICICI CC",https://www.flipkart.com/poco-c75-5g/p/itm10b3f6f1bc616
